freq_mhz,dbfs
0.628906,-159.142
0.629687,-138.298
0.630469,-123.859
0.631250,-138.298
0.632031,-109.843
0.632812,-138.298
0.633594,-115.902
0.634375,-138.298
0.635156,-103.461
0.635937,-138.298
0.636719,-112.706
0.637500,-138.298
0.638281,-111.380
0.639062,-138.298
0.639844,-106.468
0.640625,-138.298
0.641406,-119.637
0.642187,-138.298
0.642969,-116.071
0.643750,-138.298
0.644531,-100.046
0.645312,-138.298
0.646094,-112.438
0.646875,-138.298
0.647656,-105.061
0.648437,-138.298
0.649219,-111.271
0.650000,-138.298
0.650781,-102.560
0.651562,-138.298
0.652344,-117.966
0.653125,-138.298
0.653906,-122.155
0.654687,-138.298
0.655469,-120.027
0.656250,-138.298
0.657031,-114.692
0.657812,-138.298
0.658594,-130.515
0.659375,-138.298
0.660156,-113.157
0.660937,-138.298
0.661719,-109.025
0.662500,-138.298
0.663281,-133.778
0.664062,-138.298
0.664844,-107.556
0.665625,-138.298
0.666406,-109.528
0.667187,-138.298
0.667969,-100.977
0.668750,-138.298
0.669531,-143.779
0.670312,-138.298
0.671094,-103.493
0.671875,-138.298
0.672656,-105.908
0.673437,-138.298
0.674219,-107.568
0.675000,-138.298
0.675781,-131.154
0.676562,-138.298
0.677344,-114.588
0.678125,-138.298
0.678906,-110.066
0.679687,-138.298
0.680469,-114.170
0.681250,-138.298
0.682031,-107.203
0.682812,-138.298
0.683594,-114.112
0.684375,-138.298
0.685156,-100.214
0.685937,-138.298
0.686719,-101.482
0.687500,-138.298
0.688281,-112.255
0.689062,-138.298
0.689844,-104.835
0.690625,-138.298
0.691406,-103.087
0.692187,-138.298
0.692969,-122.293
0.693750,-138.298
0.694531,-105.936
0.695312,-138.298
0.696094,-110.608
0.696875,-138.298
0.697656,-123.875
0.698437,-138.298
0.699219,-112.438
0.700000,-138.298
0.700781,-103.758
0.701562,-138.298
0.702344,-107.945
0.703125,-138.298
0.703906,-103.317
0.704687,-138.298
0.705469,-118.130
0.706250,-138.298
0.707031,-106.401
0.707812,-138.298
0.708594,-113.279
0.709375,-138.298
0.710156,-104.603
0.710937,-138.298
0.711719,-110.004
0.712500,-138.298
0.713281,-104.834
0.714062,-138.298
0.714844,-107.340
0.715625,-138.298
0.716406,-106.832
0.717187,-138.298
0.717969,-110.324
0.718750,-138.298
0.719531,-140.145
0.720312,-138.298
0.721094,-108.288
0.721875,-138.298
0.722656,-120.048
0.723437,-138.298
0.724219,-102.632
0.725000,-138.298
0.725781,-110.332
0.726562,-138.298
0.727344,-110.250
0.728125,-138.298
0.728906,-114.134
0.729687,-138.298
0.730469,-113.957
0.731250,-138.298
0.732031,-106.169
0.732812,-138.298
0.733594,-105.666
0.734375,-138.298
0.735156,-102.776
0.735937,-138.298
0.736719,-128.858
0.737500,-138.298
0.738281,-109.176
0.739062,-138.298
0.739844,-104.817
0.740625,-138.298
0.741406,-108.599
0.742187,-138.298
0.742969,-115.188
0.743750,-138.298
0.744531,-107.435
0.745312,-138.298
0.746094,-102.235
0.746875,-138.298
0.747656,-159.464
0.748437,-138.298
0.749219,-116.040
0.750000,-138.298
0.750781,-104.179
0.751562,-138.298
0.752344,-103.836
0.753125,-138.298
0.753906,-115.598
0.754687,-138.298
0.755469,-101.176
0.756250,-138.298
0.757031,-124.041
0.757812,-138.298
0.758594,-108.923
0.759375,-138.298
0.760156,-101.923
0.760937,-138.298
0.761719,-107.520
0.762500,-138.298
